repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl
CyanogenMod/android_device_motorola_condor,C++,0.511905,2,0,0.222139,25.000000,0.500000,1,17312,0.000000,23,1,1,1,1
wuan/bo-tracker,C++,0.991803,1,0,0.105322,8.490909,0.018182,1,6330,0.126947,0,1,1,1,1
MoochMcGee/Emotionless,C++,0.829787,1,0,0.016874,23.000000,1.000000,1,2241,0.000000,21,0,1,1,1
jerrun/Unreal4,C++,0.916191,53,0,0.202037,1637.636353,0.000000,1,4526516,0.013638,14,1,1,1,1
0xtob/nitrotracker,C++,0.812500,1,0,0.155324,1.000000,3.687500,1,9408,0.000000,4,0,1,1,1
byzhang/graphchi,C++,0.967742,2,0,0.106015,40.000000,6.600000,1,127492,0.254827,0,1,1,1,1
byzhang/rapidjson,C++,0.870000,1,0,0.226339,4.545455,11.454545,1,35496,0.084783,0,1,1,1,1
byzhang/server1,C++,0.987500,1,0,0.236307,3.166667,0.233333,0,8629,0.337652,1,0,1,1,1
CyanogenMod/android_system_keymaster,C++,0.942857,2,0,0.173300,6.714286,0.000000,1,12027,0.504630,0,1,1,1,1
kodi-pvr/pvr.hts,C++,0.517241,7,0,0.197606,5.269231,0.923077,1,6709,0.000000,34,1,1,1,1
kodi-pvr/pvr.mediaportal.tvserver,C++,0.934426,6,0,0.211281,3.965517,0.137931,1,9737,0.000000,0,1,1,1,1
kodi-pvr/pvr.vuplus,C++,0.750000,3,0,0.069049,8.000000,3.000000,1,2324,0.000000,3,1,1,1,1
Hextremist/mapredo,C++,0.978723,2,0,0.209956,38.000000,3.333333,1,4326,0.087602,0,1,1,1,1
bryan-m-hughes/raspi-i2c,C++,0.000000,2,0,0.099130,3.666667,1.333333,1,1058,0.000000,6,1,1,1,1
ZiftrCOIN/ziftrcoin,C++,0.962162,3,0,0.057363,46.250000,2.500000,1,240747,0.111377,3,1,1,1,1
xbianonpi/xbian-sources-xbmc,C++,0.873120,15,0,0.169621,13.437500,0.000000,1,1387571,0.068758,1,1,1,1,1
mesos/modules,C++,1.000000,1,0,0.140314,6.000000,0.500000,1,1679,0.000000,16,0,1,1,1
ioweb-fr/node-opencl,C++,0.466667,2,0,0.151474,194.000000,8.000000,0,8202,0.000000,0,0,1,1,1
ParabolicMinds/Parabolic-Realms,C++,0.764275,4,0,0.195344,119.086960,0.739130,1,513263,0.045819,0,1,1,1,1
zykis/myClient,C++,0.937500,2,0,0.019589,29.000000,2.000000,0,1743,0.000000,0,0,1,1,1
babcca/hole,C++,0.929641,12,1,0.160704,525.852966,0.000000,1,590309,0.161929,0,1,1,1,1
openMerc/openmerc,C++,0.888889,1,1,0.179426,60.000000,5.000000,1,1085,0.000000,1,1,1,1,1
chdinh/qt3d,C++,0.967213,12,0,0.343464,16.452381,0.000000,1,134898,0.124781,0,1,1,1,1
ekstrand/ESP8266wifi,C++,1.000000,1,0,0.144082,41.000000,3.000000,1,626,0.000000,66,0,1,1,1
Treatz/phiction_phreak,C++,1.000000,1,0,0.011538,151.000000,4.000000,1,386,0.000000,6,0,1,1,1
HertzDevil/0CC-FamiTracker,C++,0.922481,1,0,0.140311,77.000000,7.000000,1,60647,0.010050,14,1,1,1,1
lordsergioinspa/FreeNOS,C++,0.892977,3,0,0.469086,5.555556,0.027778,1,16878,0.000000,224,1,1,1,1
mikegapinski/android_frameworks_native,C++,0.916817,61,0,0.151083,157.434204,0.000000,1,192983,0.113704,0,1,1,1,1
DecodeGenetics/BamHash,C++,0.859206,2,0,0.431502,9.500000,1.500000,1,149230,0.000000,16,1,1,1,1
grpc/grpc-common,C++,0.833333,10,0,0.226344,165.000000,66.000000,1,6159,0.000000,880,1,1,1,1
cherifyass/android_device_lge_hammerhead,C++,0.666667,23,0,0.200240,45.086956,0.000000,1,79850,0.019835,1,1,1,1,1
knxd/knxd,C++,0.862903,7,1,0.143322,42.666668,5.000000,1,33460,0.000000,81,1,1,1,1
Esri/message-simulator-qt,C++,1.000000,1,0,0.001838,13.000000,12.000000,1,117148,0.000000,10,0,1,1,1
